title,link,like,angry
[부동산] 하반기 서울 집값의 변수 ‘송파헬리오시티,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=037&aid=0000025610,5,1
"국민銀, 부동산투자자문센터 개설…전문 컨설팅 제공",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0003810475,0,0
"부동산 패러다임 소유→거주…""종합부동산서비스 법 제정 시급""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0002639924,3,0
"서울 부동산 중개업소, 강남구가 최다…전체 10% 차지",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=079&aid=0002993514,1,0
중국인 관광객 줄며 신사·압구정 등 주요 상권 '찬바람',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003093073,0,0
지하철역·버스정류장 길목상권 인기,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=032&aid=0002880621,13,25
종부세 틈새에도 ‘솟아날 부동산’은 곳곳에,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004437893,4,0
[우리동네 지역전문가] 서울 대표 글로벌 비즈니스 지역으로 위상 드높이는 ‘...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004411233,0,0
SNS가 바꾼 이태원 상권 대로변 상가 20%가 공실,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004437883,9,2
[우리동네 지역전문가] 새로운 국면 맞이하며 강남 신흥 부촌으로 떠오른 ‘강...,https://search.naver.com/p/crd/rd?m=1&px=307&py=1432&sx=307&sy=712&p=UCveYdp0J1sssbQAZG0sssssslw-238517&q=%EA%B0%95%EB%82%A8%EA%B5%AC%26%EC%83%81%EA%B6%8C%26%EB%B6%80%EB%8F%99%EC%82%B0&ie=utf8&rev=1&ssc=tab.news.all&f=news&w=news&s=KfdiWz2UvILGv%2BsCe%2FpJQA%3D%3D&time=1581306383475&bt=32&a=nws*e.nav&r=15&i=880000BC_000000000000000004437883&u=https%3A%2F%2Fnews.naver.com%2Fmain%2Fread.nhn%3Fmode%3DLSD%26mid%3Dsec%26sid1%3D101%26oid%3D009%26aid%3D0004437883,9,2
