사업번호,자치구,사업구분,대표지번,상태
11590-100002006,동작구,재개발,흑석동 253-89,운영
11650-900000122,서초구,재건축,방배동 1018-1,운영
11590-100009000,동작구,재개발,대방동 44-1,운영
11620-100004002,관악구,재개발,신림동 324-25,운영
11530-900000056,구로구,재개발,고척동 148,운영
11290-100003002,성북구,재개발,안암동3가 132-17,운영
11230-100003011,동대문구,재개발,제기동 288,운영
11650-900000578,서초구,재건축,잠원동 49-17,운영
11650-900000665,서초구,재건축,방배동 1000-4,운영
11260-100003040,중랑구,도시환경정비,상봉동 88,운영
11500-900000103,강서구,재건축,방화동 608-97,운영
11110-900000012,종로구,도시환경정비,사직동 238-1,일시중단
11290-100016014,성북구,재개발,장위동 25-55,운영
11500-100002001,강서구,재건축,마곡동 327-53,운영
11290-100011000,성북구,재건축,정릉동 506-159,일시중단
11650-900000666,서초구,재건축,방배동 1000-3,운영
11320-100003000,도봉구,재개발,도봉동 95,운영
11590-100005001,동작구,재개발,노량진동 294-220,운영
11590-100005005,동작구,재개발,노량진동 312-75,운영
11740-900000167,강동구,재건축,천호동 423-76,운영
11680-900000566,강남구,재건축,대치동 66-,운영
11680-900000567,강남구,재건축,대치동 65-,운영
